Nombre,Codigo_de_barras,Stock_inicial,SKU,Stock_minimo
Samsung Producto Tecnológico 1,8526652608902,82,SKU-0001,10
Dell Producto Tecnológico 2,4205084628936,141,SKU-0002,10
Asus Producto Tecnológico 3,6460195366335,47,SKU-0003,10
Lenovo Producto Tecnológico 4,0363744994668,90,SKU-0004,10
Lenovo Producto Tecnológico 5,1437226755135,87,SKU-0005,10
HP Producto Tecnológico 6,0447160745696,73,SKU-0006,10
Samsung Producto Tecnológico 7,3539835352011,138,SKU-0007,10
Lenovo Producto Tecnológico 8,5324512887887,38,SKU-0008,10
Samsung Producto Tecnológico 9,3974871090985,33,SKU-0009,10
HP Producto Tecnológico 10,1299784751626,146,SKU-0010,10
Acer Producto Tecnológico 11,8093833930855,110,SKU-0011,10
Asus Producto Tecnológico 12,4955166397412,120,SKU-0012,10
Samsung Producto Tecnológico 13,7719974840574,40,SKU-0013,10
Microsoft Producto Tecnológico 14,2566663033038,31,SKU-0014,10
Sony Producto Tecnológico 15,4563864617843,49,SKU-0015,10
Microsoft Producto Tecnológico 16,3418185752868,85,SKU-0016,10
Asus Producto Tecnológico 17,0631186940782,138,SKU-0017,10
Sony Producto Tecnológico 18,6788035331079,150,SKU-0018,10
Sony Producto Tecnológico 19,2678138097982,106,SKU-0019,10
Samsung Producto Tecnológico 20,5360752199194,91,SKU-0020,10
Samsung Producto Tecnológico 21,8789221177181,57,SKU-0021,10
Sony Producto Tecnológico 22,4697422062811,127,SKU-0022,10
Logitech Producto Tecnológico 23,1225047169070,64,SKU-0023,10
Lenovo Producto Tecnológico 24,0350846047896,26,SKU-0024,10
Acer Producto Tecnológico 25,8480216031272,36,SKU-0025,10
HP Producto Tecnológico 26,6650927543002,147,SKU-0026,10
Asus Producto Tecnológico 27,7504482903261,75,SKU-0027,10
Acer Producto Tecnológico 28,3982388650596,131,SKU-0028,10
HP Producto Tecnológico 29,8050474323344,111,SKU-0029,10
Samsung Producto Tecnológico 30,0176191757419,114,SKU-0030,10
Apple Producto Tecnológico 31,7976491954054,87,SKU-0031,10
Dell Producto Tecnológico 32,7392568013359,101,SKU-0032,10
Lenovo Producto Tecnológico 33,2523040381813,125,SKU-0033,10
Microsoft Producto Tecnológico 34,2082438702393,111,SKU-0034,10
Microsoft Producto Tecnológico 35,9317144661748,51,SKU-0035,10
Asus Producto Tecnológico 36,3222899515892,43,SKU-0036,10
Asus Producto Tecnológico 37,4993409417785,29,SKU-0037,10
Logitech Producto Tecnológico 38,3353931491775,36,SKU-0038,10
HP Producto Tecnológico 39,5829305296497,46,SKU-0039,10
HP Producto Tecnológico 40,3801757958524,94,SKU-0040,10
Asus Producto Tecnológico 41,6025106130186,98,SKU-0041,10
Samsung Producto Tecnológico 42,2524115769951,121,SKU-0042,10
Acer Producto Tecnológico 43,6213609253088,73,SKU-0043,10
Dell Producto Tecnológico 44,9440605392897,76,SKU-0044,10
Logitech Producto Tecnológico 45,0803727530589,100,SKU-0045,10
Dell Producto Tecnológico 46,7522540389234,131,SKU-0046,10
