name,sku,barcode,description,unit,stock_minimo,stock_actual,fecha_vencimiento
Leche Entera Alpina 1L,ALI-001,7702001010010,Leche entera pasteurizada Alpina bolsa 1 litro,LITRO,30,120,2026-06-15
Leche Deslactosada Alquería 900ml,ALI-002,7702002020020,Leche deslactosada Alquería caja 900ml,LITRO,25,90,2026-06-20
Jugo de Naranja Hit 1L,ALI-003,7702003030030,Jugo de naranja Hit caja 1 litro sin conservantes,LITRO,20,75,2026-08-10
Aceite Girasol Gourmet 900ml,ALI-004,7702004040040,Aceite de girasol refinado para cocina 900ml,LITRO,15,60,2027-03-01
Agua Cristal 600ml,ALI-005,7702005050050,Agua potable purificada Cristal botella 600ml,LITRO,50,200,2027-12-01
Yogur Alpina Fresa 200g,ALI-006,7702006060060,Yogur sabor fresa Alpina vaso 200 gramos,GRAMOS,20,85,2026-06-05
Arroz Diana Extra 1kg,ALI-007,7702007070070,Arroz blanco excelso Diana bolsa 1 kilogramo,KILOGRAMO,40,180,2027-09-01
Harina de Trigo Haz de Oros 1kg,ALI-008,7702008080080,Harina de trigo todo uso Haz de Oros 1 kilogramo,KILOGRAMO,30,120,2027-04-15
Azúcar Riopaila 1kg,ALI-009,7702009090090,Azúcar blanca refinada Riopaila bolsa 1 kilogramo,KILOGRAMO,35,150,2028-01-01
Lentejas Naturas 500g,ALI-010,7702010100100,Lentejas verdes secas Naturas bolsa 500 gramos,GRAMOS,20,80,2027-07-20
Pasta Doria Espagueti 500g,ALI-011,7702011110110,Pasta espagueti Doria 500 gramos,GRAMOS,25,100,2027-11-15
Atún Van Camps en agua 170g,ALI-012,7702012120120,Atún en trozos Van Camps en agua lata 170 gramos,GRAMOS,20,90,2027-08-30
Huevo rojo A Kikes,ALI-013,7702013130130,Huevo rojo tipo A Kikes 30 unidades,CANASTA,15,60,2026-05-25
Huevo blanco AA Incubadora San Fernando,ALI-014,7702014140140,Huevo blanco AA incubadora San Fernando 12 unidades,CANASTA,20,80,2026-05-22
Café Sello Rojo molido 250g,ALI-015,7702015150150,Café molido Sello Rojo 250 gramos,GRAMOS,15,65,2027-02-10
Chocolate Corona 500g,ALI-016,7702016160160,Chocolate amargo Corona cacao 500 gramos,GRAMOS,10,45,2027-05-01
Sal Marina Refisal 500g,ALI-017,7702017170170,Sal marina gruesa Refisal bolsa 500 gramos,GRAMOS,20,90,2029-01-01
Mantequilla Rama 250g,ALI-018,7702018180180,Mantequilla Rama sin sal 250 gramos,GRAMOS,15,55,2026-07-10
Queso Mozzarella Colanta 500g,ALI-019,7702019190190,Queso mozzarella rallado Colanta 500 gramos,GRAMOS,10,40,2026-06-01
Maíz Pira Fritolon 150g,ALI-020,7702020200200,Maíz pira inflado snack Fritolon 150 gramos,GRAMOS,25,100,2026-12-20
