name,sku,barcode,description,unit,stock_minimo,stock_actual,fecha_vencimiento
Acetaminofén 500mg Genfar x100 tabletas,FAR-001,7702001110110,Acetaminofén 500mg tabletas Genfar caja 100 unidades,TABLETA,30,150,2027-08-15
Ibuprofeno 400mg Bayer x20 tabletas,FAR-002,7702002220220,Ibuprofeno 400mg tabletas Bayer caja 20 unidades,TABLETA,30,120,2027-06-30
Amoxicilina 500mg LCH x21 cápsulas,FAR-003,7702003330330,Amoxicilina 500mg cápsulas LCH caja 21 unidades,CAPSULA,20,80,2027-03-20
Loratadina 10mg MK x10 tabletas,FAR-004,7702004440440,Loratadina 10mg tabletas MK Antihistamínico caja 10 unidades,TABLETA,25,100,2027-11-01
Omeprazol 20mg Genfar x14 cápsulas,FAR-005,7702005550550,Omeprazol 20mg cápsulas Genfar protector gástrico 14 unidades,CAPSULA,20,85,2027-09-10
Metformina 850mg Lafrancol x30 tabletas,FAR-006,7702006660660,Metformina clorhidrato 850mg tabletas Lafrancol 30 unidades,TABLETA,15,60,2028-02-28
Vitamina C 1g Lafrancol x10 tabletas efervescentes,FAR-007,7702007770770,Vitamina C 1000mg tabletas efervescentes Lafrancol 10 unidades,TABLETA,20,90,2027-05-15
Jarabe Dimetapp antigripal 120ml,FAR-008,7702008880880,Dimetapp antigripal jarabe adultos 120ml descongestionante,ML,15,55,2027-01-20
Solución salina nasal Pisa 250ml spray,FAR-009,7702009990990,Solución salina isotónica spray nasal Pisa 250ml,ML,20,75,2027-10-05
Alcohol antiséptico Glyco 96° 500ml,FAR-010,7702010101010,Alcohol antiséptico 96° Glyco botella 500ml desinfectante,ML,25,100,2028-06-01
Agua oxigenada Lafrancol 10 vol 500ml,FAR-011,7702011111110,Agua oxigenada 10 volúmenes Lafrancol 500ml antiséptico,ML,20,80,2027-04-30
Crema Betametasona 0.05% Genfar 30g,FAR-012,7702012121210,Betametasona crema 0.05% Genfar tubo 30 gramos antinflamatorio,GRAMOS,10,40,2027-07-15
Melatonina 5mg Natrol x60 tabletas,FAR-013,7702013131310,Melatonina 5mg Natrol tabletas regulador del sueño 60 unidades,TABLETA,15,60,2027-12-01
Suero oral electrolitos Pedialyte 500ml,FAR-014,7702014141410,Pedialyte solución oral electrolitos sabor frutas 500ml,ML,15,65,2027-02-14
Complejo B Genfar x30 tabletas,FAR-015,7702015151510,Complejo B vitaminas B1 B6 B12 Genfar tabletas 30 unidades,TABLETA,20,80,2028-03-10
Clotrimazol crema 1% Lafrancol 30g,FAR-016,7702016161610,Clotrimazol 1% crema vaginal Lafrancol tubo 30g antifúngico,GRAMOS,10,40,2027-08-20
Diclofenaco gel 1% 60g Genfar,FAR-017,7702017171710,Diclofenaco sódico gel 1% Genfar tubo 60g antiinflamatorio,GRAMOS,12,48,2027-06-10
Antidiarreico Loperamida 2mg Genfar x12,FAR-018,7702018181810,Loperamida clorhidrato 2mg tabletas Genfar 12 unidades,TABLETA,20,80,2027-10-25
Termómetro digital infrarrojo Omron,FAR-019,7702019191910,Termómetro digital infrarrojo frente Omron MC-720,UNIDAD,5,20,
Tensiómetro digital de muñeca Omron HEM-6161,FAR-020,7702020201010,Tensiómetro digital automático muñeca Omron HEM-6161,UNIDAD,3,12,
