name,sku,barcode,description,unit,stock_minimo,stock_actual
Cable THHN #12 AWG Condumex,FER-001,7501001010010,Cable eléctrico THHN calibre 12 AWG Condumex,METRO,50,300
Tubo PVC presión 1/2 pulgada Pavco,FER-002,7501002020020,Tubo PVC presión 1/2 pulgada x 6 metros Pavco,METRO,30,180
Varilla corrugada 3/8 pulgada x 6m,FER-003,7501003030030,Varilla de acero corrugado 3/8 pulgada 6 metros,METRO,20,100
Tornillo punta fina 8x1 cabeza Phillips,FER-004,7501004040040,Tornillo autopercante cabeza Phillips 8x1 pulgada,UNIDAD,500,3000
Cemento Argos 50kg,FER-005,7501005050050,Cemento Portland gris Argos bolsa 50 kilogramos,UNIDAD,20,80
Puntilla sin cabeza 1 pulgada,FER-006,7501006060060,Puntilla acerada sin cabeza 1 pulgada caja 500g,UNIDAD,30,150
Llave de paso 1/2 pulgada latón,FER-007,7501007070070,Llave de paso tipo bola 1/2 pulgada latón cromado,UNIDAD,15,60
Chazos Fisher S6 con tornillo,FER-008,7501008080080,Taco plástico Fisher S6 con tornillo para concreto,UNIDAD,200,1200
Cinta aislante 3M Temflex 600,FER-009,7501009090090,Cinta aislante eléctrica 3M Temflex 600 negro 18mm x 20m,UNIDAD,20,80
Brocha cerda natural 3 pulgadas,FER-010,7501010100100,Brocha pintura cerda natural mango corto 3 pulgadas,PULGADA,20,90
Lija de agua grano 120 Norton,FER-011,7501011110110,Lija de agua grano 120 Norton hoja 22x28 cm,UNIDAD,40,200
Silicona transparente Dow Corning 280ml,FER-012,7501012120120,Sellador silicona transparente Dow Corning tubo 280ml,UNIDAD,15,55
Interruptor sencillo Bticino,FER-013,7501013130130,Interruptor sencillo embutir Bticino serie Magic,UNIDAD,20,80
Tomacorriente doble polo a tierra Legrand,FER-014,7501014140140,Tomacorriente doble polo a tierra 15A Legrand,UNIDAD,20,75
Pintura vinilo interior Pintuco blanco 1 galón,FER-015,7501015150150,Pintura de caucho vinilo interior blanco Pintuco 1 galón,UNIDAD,10,40
Manguera jardín 1/2 pulgada x 25m,FER-016,7501016160160,Manguera de jardín flexible 1/2 pulgada 25 metros verde,METRO,10,40
Disco de corte amoladora 4.5 pulgadas Dewalt,FER-017,7501017170170,Disco de corte metal amoladora 4.5 pulgadas Dewalt,PULGADA,30,120
Bisagra de piano acero inoxidable metro,FER-018,7501018180180,Bisagra de piano acero inoxidable 1 metro ancho 25mm,METRO,10,40
Válvula flotador 1/2 pulgada plástico,FER-019,7501019190190,Válvula flotador tanque 1/2 pulgada plástico reforzado,UNIDAD,10,40
Candado Yale 50mm seguridad,FER-020,7501020200200,Candado arco de acero Yale 50mm resistente intemperie,UNIDAD,15,60
