name,sku,barcode,description,unit,stock_minimo,stock_actual
Camiseta básica cuello redondo hombre blanca,MOD-001,7702021010010,Camiseta 100% algodón peinado cuello redondo hombre blanca,S,10,50
Camiseta básica cuello redondo hombre blanca talla M,MOD-002,7702021010020,Camiseta 100% algodón peinado cuello redondo hombre blanca,M,10,55
Camiseta básica cuello redondo hombre blanca talla L,MOD-003,7702021010030,Camiseta 100% algodón peinado cuello redondo hombre blanca,L,10,45
Camiseta básica cuello redondo hombre blanca talla XL,MOD-004,7702021010040,Camiseta 100% algodón peinado cuello redondo hombre blanca,XL,8,30
Jean slim fit hombre azul oscuro talla 30,MOD-005,7702022020010,Jean denim slim fit hombre azul oscuro talla 30x32,S,8,30
Jean slim fit hombre azul oscuro talla 32,MOD-006,7702022020020,Jean denim slim fit hombre azul oscuro talla 32x32,M,10,40
Jean slim fit hombre azul oscuro talla 34,MOD-007,7702022020030,Jean denim slim fit hombre azul oscuro talla 34x32,L,10,38
Jean slim fit hombre azul oscuro talla 36,MOD-008,7702022020040,Jean denim slim fit hombre azul oscuro talla 36x32,XL,6,22
Blusa estampada floral mujer talla S,MOD-009,7702023030010,Blusa manga corta estampado floral mujer tela viscosa,S,8,35
Blusa estampada floral mujer talla M,MOD-010,7702023030020,Blusa manga corta estampado floral mujer tela viscosa,M,10,42
Blusa estampada floral mujer talla L,MOD-011,7702023030030,Blusa manga corta estampado floral mujer tela viscosa,L,8,30
Blusa estampada floral mujer talla XL,MOD-012,7702023030040,Blusa manga corta estampado floral mujer tela viscosa,XL,5,18
Sudadera hoodie unisex gris talla S,MOD-013,7702024040010,Sudadera hoodie algodón fleece unisex gris jaspeado,S,8,32
Sudadera hoodie unisex gris talla M,MOD-014,7702024040020,Sudadera hoodie algodón fleece unisex gris jaspeado,M,10,40
Sudadera hoodie unisex gris talla L,MOD-015,7702024040030,Sudadera hoodie algodón fleece unisex gris jaspeado,L,10,38
Sudadera hoodie unisex gris talla XL,MOD-016,7702024040040,Sudadera hoodie algodón fleece unisex gris jaspeado,XL,6,20
Vestido casual mujer midi floreado talla S,MOD-017,7702025050010,Vestido casual midi manga sisa estampado floral mujer,S,6,25
Vestido casual mujer midi floreado talla M,MOD-018,7702025050020,Vestido casual midi manga sisa estampado floral mujer,M,8,32
Vestido casual mujer midi floreado talla L,MOD-019,7702025050030,Vestido casual midi manga sisa estampado floral mujer,L,6,22
Chaqueta denim mujer azul medio talla M,MOD-020,7702026060020,Chaqueta jean denim clásica mujer azul medio botones dorados,M,5,18
Pantaloneta deportiva hombre negra talla M,MOD-021,7702027070020,Pantaloneta deportiva dry-fit hombre negra bolsillos laterales,M,10,45
Buzo cuello tortuga mujer negro talla S,MOD-022,7702028080010,Buzo cuello tortuga tejido soft mujer negro manga larga,S,6,25
Medias ejecutivas hombre algodón pack 3,MOD-023,7702029090090,Pack 3 pares medias ejecutivas algodón hombre negro gris azul,UNIDAD,20,90
Cinturon cuero genuino hombre café 32,MOD-024,7702030100100,Cinturón cuero genuino hombre hebilla dorada café talla 32,UNIDAD,8,30
